Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
01/02/2020,38039,21341,59380,12213,4584,16797,11943,16014,21341,37355,2485,5228
01/03/2020,37963,21288,59251,12159,4586,16745,11914,15979,21288,37267,2489,5239
01/04/2020,37952,21292,59244,12162,4569,16731,11915,15987,21292,37279,2487,5234
01/05/2020,38174,21367,59541,12293,4606,16899,11957,16050,21367,37417,2483,5225
01/06/2020,38171,21327,59498,12327,4611,16938,11934,16007,21327,37334,2483,5226
01/07/2020,38236,21347,59583,12353,4635,16988,11946,16022,21347,37369,2485,5226
01/08/2020,38272,21354,59626,12383,4633,17016,11967,16045,21354,37399,2476,5211
01/09/2020,38356,21457,59813,12391,4656,17047,12017,16102,21457,37559,2475,5207
01/10/2020,38204,21443,59647,12308,4619,16927,12011,16082,21443,37525,2469,5195
01/11/2020,38212,21471,59683,12323,4607,16930,12024,16096,21471,37567,2464,5186
01/12/2020,38281,21493,59774,12383,4636,17019,12023,16092,21493,37585,2458,5170
01/13/2020,38368,21479,59847,12403,4638,17041,12018,16095,21479,37574,2488,5232
01/14/2020,38490,21512,60002,12440,4664,17104,12044,16135,21512,37647,2495,5251
01/15/2020,38400,21505,59905,12404,4658,17062,12031,16115,21505,37620,2481,5223
01/16/2020,38418,21497,59915,12411,4674,17085,12028,16115,21497,37612,2479,5218
01/17/2020,38400,21467,59867,12392,4675,17067,12012,16092,21467,37559,2490,5241
01/18/2020,38368,21422,59790,12400,4695,17095,11989,16065,21422,37487,2474,5208
01/19/2020,38415,21422,59837,12423,4700,17123,11990,16074,21422,37496,2478,5218
01/20/2020,38465,21404,59869,12477,4701,17178,11974,16051,21404,37455,2486,5236
01/21/2020,38512,21445,59957,12490,4722,17212,11987,16070,21445,37515,2483,5230
01/22/2020,38469,21419,59888,12469,4738,17207,11966,16040,21419,37459,2482,5222
01/23/2020,38464,21399,59863,12455,4728,17183,11966,16035,21399,37434,2493,5246
01/24/2020,38330,21356,59686,12391,4691,17082,11946,16015,21356,37371,2489,5233
01/25/2020,38367,21362,59729,12424,4709,17133,11951,16032,21362,37394,2471,5202
01/26/2020,38431,21372,59803,12482,4721,17203,11957,16034,21372,37406,2467,5194
01/27/2020,38466,21370,59836,12484,4734,17218,11952,16031,21370,37401,2478,5217
01/28/2020,38458,21295,59753,12510,4741,17251,11921,15987,21295,37282,2480,5220
01/29/2020,38405,21300,59705,12488,4731,17219,11926,15977,21300,37277,2475,5209
01/30/2020,38374,21268,59642,12504,4731,17235,11903,15927,21268,37195,2476,5212
01/31/2020,38216,21278,59494,12401,4677,17078,11904,15939,21278,37217,2469,5199
02/01/2020,38161,21237,59398,12396,4668,17064,11879,15911,21237,37148,2463,5186
02/02/2020,38231,21252,59483,12454,4680,17134,11881,15921,21252,37173,2458,5176
02/03/2020,38222,21251,59473,12417,4689,17106,11881,15914,21251,37165,2470,5202
02/04/2020,37932,20906,58838,12409,4717,17126,11639,15635,20906,36541,2456,5171
02/05/2020,38032,20941,58973,12479,4711,17190,11662,15665,20941,36606,2457,5177
02/06/2020,38023,20939,58962,12471,4696,17167,11674,15678,20939,36617,2458,5178
02/07/2020,37967,20902,58869,12448,4690,17138,11659,15656,20902,36558,2454,5173
02/08/2020,37971,20854,58825,12464,4704,17168,11623,15598,20854,36452,2468,5205
02/09/2020,38043,20871,58914,12505,4700,17205,11639,15627,20871,36498,2471,5211
02/10/2020,38018,20854,58872,12503,4701,17204,11619,15601,20854,36455,2472,5213
02/11/2020,38032,20868,58900,12522,4702,17224,11627,15613,20868,36481,2463,5195
02/12/2020,38013,20850,58863,12504,4710,17214,11613,15592,20850,36442,2470,5207
02/13/2020,38042,20874,58916,12527,4712,17239,11624,15603,20874,36477,2467,5200
02/14/2020,37969,20837,58806,12482,4680,17162,11614,15600,20837,36437,2471,5207
02/15/2020,38019,20831,58850,12518,4688,17206,11618,15602,20831,36433,2473,5211
02/16/2020,38034,20813,58847,12547,4692,17239,11614,15597,20813,36410,2467,5198
02/17/2020,38077,20796,58873,12566,4717,17283,11603,15592,20796,36388,2470,5202
02/18/2020,38078,20774,58852,12576,4711,17287,11597,15574,20774,36348,2476,5217
02/19/2020,38000,20742,58742,12580,4703,17283,11566,15536,20742,36278,2459,5181
02/20/2020,37989,20730,58719,12603,4693,17296,11554,15511,20730,36241,2459,5182
02/21/2020,37926,20744,58670,12560,4683,17243,11561,15511,20744,36255,2453,5172
02/22/2020,37973,20764,58737,12562,4666,17228,11583,15557,20764,36321,2461,5188
02/23/2020,38026,20748,58774,12582,4690,17272,11579,15557,20748,36305,2466,5197
02/24/2020,37996,20700,58696,12579,4697,17276,11552,15521,20700,36221,2467,5199
02/25/2020,37972,20683,58655,12584,4694,17278,11539,15495,20683,36178,2466,5199
02/26/2020,37853,20654,58507,12521,4690,17211,11516,15454,20654,36108,2461,5188
02/27/2020,37879,20664,58543,12579,4681,17260,11516,15437,20664,36101,2458,5182
02/28/2020,37814,20661,58475,12533,4659,17192,11519,15444,20661,36105,2455,5178
