Source: http://www.populstat.info/,,,,
Some entries estimated or interpolated using population from other years,,,,
,,,,
Year,Cuba,Dominican Republic,Haiti,Puerto Rico
1850,907200,136500,543000,380000
1860,1099400,200000,572000,583300
1870,1321700,290000,686000,625000
1880,1409900,300000,880000,754300
1890,1609100,340000,1085300,839000
1900,1600000,600000,1294400,986000
1910,2219000,740000,2029700,1118000
1920,2997000,879000,1631300,1299800
1930,3647000,1256000,2380000,1543900
1940,4291100,1674000,2751000,1869300
1950,5516000,2353000,3097000,2210700
1960,7027000,3231000,3623000,2349500
1970,8569100,4423000,4235000,2712000
1980,9724000,5697000,5353000,3196500
1990,10694500,7170000,6486000,3522000
2000,11142000,8442500,7180300,3808600
2010,11925000,9335000,8854000,4169000
2015,12205000,9900000,9434000,4287000
